,t,x,y,ω
66,1.107,-0.0733,0.188,-363.0
67,1.124,-0.05249,0.195,-354.0
68,1.14,-0.03315,0.199,-379.0
69,1.157,-0.008425,0.203,-381.7
70,1.174,0.01196,0.206,-330.9
71,1.191,0.03089,0.201,-330.9
72,1.208,0.05123,0.199,-334.2
73,1.224,0.07043,0.194,-341.6
74,1.241,0.08997,0.185,-346.3
75,1.258,0.106,0.173,-362.2
76,1.275,0.126,0.161,-354.5
77,1.291,0.139,0.147,-305.7
78,1.308,0.148,0.132,-289.3
79,1.325,0.158,0.118,-293.7
80,1.342,0.165,0.103,-335.5
81,1.358,0.174,0.08344,-386.0
82,1.375,0.18,0.06152,-398.5
83,1.392,0.181,0.03926,-376.8
84,1.409,0.183,0.02003,-347.6
85,1.426,0.179,0.001762,-357.1
86,1.442,0.173,-0.01738,-391.8
87,1.459,0.169,-0.03763,-394.2
88,1.476,0.163,-0.05606,-334.8
89,1.493,0.156,-0.06872,-346.6
90,1.509,0.146,-0.08651,-423.3
91,1.526,0.133,-0.104,-410.6
92,1.543,0.12,-0.117,-398.6
93,1.56,0.105,-0.132,-409.6
94,1.576,0.0883,-0.142,-359.1
95,1.593,0.07458,-0.149,-356.0
96,1.61,0.05657,-0.155,-392.4
97,1.627,0.03822,-0.16,-326.3
98,1.644,0.02574,-0.162,-297.8
99,1.66,0.009863,-0.163,-367.2
100,1.677,-0.009427,-0.165,-346.0
101,1.694,-0.02383,-0.166,-335.6
102,1.711,-0.04323,-0.167,-413.9
103,1.727,-0.06256,-0.155,-385.5
104,1.744,-0.07616,-0.147,-380.4
105,1.761,-0.09395,-0.135,-392.1
106,1.778,-0.108,-0.126,-294.7
107,1.795,-0.117,-0.119,-283.1
108,1.811,-0.131,-0.11,-289.5
109,1.828,-0.14,-0.1,-336.9
110,1.845,-0.155,-0.08432,-375.1
111,1.862,-0.164,-0.06961,-367.7
112,1.878,-0.169,-0.04918,-375.0
113,1.895,-0.173,-0.03187,-372.4
114,1.912,-0.179,-0.01183,-321.3
115,1.929,-0.179,0.001036,-305.8
116,1.945,-0.18,0.02049,-341.7
117,1.962,-0.183,0.0383,-363.2
118,1.979,-0.178,0.06008,-404.0
119,1.996,-0.171,0.08099,-364.7
120,2.013,-0.165,0.0986,-350.4
121,2.029,-0.155,0.117,-328.4
122,2.046,-0.146,0.131,-325.1
123,2.063,-0.13,0.145,-392.7
124,2.08,-0.114,0.163,-396.9
125,2.096,-0.0973,0.178,-345.9
126,2.113,-0.08056,0.187,-300.8
127,2.13,-0.06541,0.194,-315.5
128,2.147,-0.04536,0.201,-336.7
129,2.163,-0.0263,0.206,-397.8
130,2.18,0.002279,0.208,-391.7
131,2.197,0.02141,0.209,-339.6
132,2.214,0.0439,0.206,-354.2
133,2.231,0.06464,0.202,-319.7
134,2.247,0.0823,0.196,-298.1
135,2.264,0.09893,0.188,-287.4
136,2.281,0.114,0.179,-319.7
137,2.298,0.132,0.166,-333.1
138,2.314,0.143,0.15,-326.8
139,2.331,0.156,0.134,-174.1
140,2.348,0.156,0.134,-287.6
141,2.365,0.171,0.102,-485.0
142,2.382,0.184,0.08347,-363.3
143,2.398,0.191,0.06507,-323.7
144,2.415,0.192,0.046,-351.9
145,2.432,0.192,0.02357,-387.7
146,2.449,0.188,0.001624,-307.6
147,2.465,0.185,-0.01075,-346.8
148,2.482,0.18,-0.03534,-381.1
149,2.499,0.175,-0.05053,-304.6
150,2.516,0.166,-0.06501,-300.8
151,2.532,0.16,-0.0785,-335.3
152,2.549,0.15,-0.0959,-383.3
153,2.566,0.134,-0.108,-388.1
154,2.583,0.119,-0.121,-397.1
155,2.6,0.104,-0.135,-403.1
156,2.616,0.08699,-0.146,-347.0
157,2.633,0.07359,-0.151,-323.2
158,2.65,0.05684,-0.156,-335.8
159,2.667,0.04262,-0.162,-330.6
160,2.683,0.02553,-0.163,-356.4
161,2.7,0.008003,-0.167,-387.8
162,2.717,-0.0119,-0.166,-379.8
163,2.734,-0.02862,-0.163,-423.1
164,2.75,-0.05233,-0.158,-398.2
165,2.767,-0.06658,-0.154,-314.8
166,2.784,-0.07952,-0.144,-341.4
167,2.801,-0.09395,-0.135,-380.8
168,2.818,-0.106,-0.12,-366.0
169,2.834,-0.116,-0.108,-298.7
170,2.851,-0.126,-0.09985,-293.4
171,2.868,-0.137,-0.08927,-311.9
172,2.885,-0.145,-0.07703,-364.3
173,2.901,-0.153,-0.05848,-419.4
174,2.918,-0.162,-0.04003,-441.8
175,2.935,-0.171,-0.01824,-454.6
176,2.952,-0.172,0.004192,-397.0
177,2.968,-0.172,0.02184,-357.7
178,2.985,-0.17,0.04053,-328.9
179,3.002,-0.168,0.05538,-310.5
180,3.019,-0.165,0.07287,-394.9
181,3.036,-0.155,0.09489,-441.6
182,3.052,-0.146,0.117,-369.0
183,3.069,-0.136,0.131,-347.2
184,3.086,-0.122,0.147,-387.3
185,3.103,-0.106,0.162,-408.6
186,3.119,-0.08525,0.175,-356.4
187,3.136,-0.07237,0.187,-371.8
188,3.153,-0.04822,0.2,-379.1
189,3.17,-0.03042,0.205,-308.4
190,3.187,-0.01174,0.21,-396.6
191,3.203,0.01805,0.212,-471.5
192,3.22,0.04675,0.209,-333.6
193,3.237,0.06049,0.21,-262.4
194,3.254,0.0797,0.203,-306.7
195,3.27,0.09769,0.197,-314.8
196,3.287,0.116,0.186,-270.4
197,3.304,0.126,0.177,-289.6
198,3.321,0.145,0.163,-343.5
199,3.337,0.157,0.147,-345.3
200,3.354,0.171,0.128,-371.3
201,3.371,0.18,0.107,-348.4
202,3.388,0.189,0.08821,-322.6
203,3.405,0.194,0.06975,-316.5
204,3.421,0.195,0.05024,-328.7
205,3.438,0.194,0.03001,-362.6
206,3.455,0.19,0.007624,-347.6
207,3.472,0.187,-0.009373,-362.8
208,3.488,0.182,-0.0316,-463.1
209,3.505,0.175,-0.05839,-409.8
210,3.522,0.168,-0.07342,-374.5
211,3.539,0.155,-0.09292,-410.4
212,3.555,0.14,-0.107,-422.6
213,3.572,0.125,-0.125,-382.7
214,3.589,0.111,-0.133,-337.4
215,3.606,0.09402,-0.142,-383.9
216,3.623,0.07557,-0.149,-375.6
217,3.639,0.05931,-0.155,-382.0
218,3.656,0.03998,-0.16,-379.0
219,3.673,0.02366,-0.164,-390.1
220,3.69,0.002771,-0.163,-334.2
221,3.706,-0.008449,-0.161,-285.3
222,3.723,-0.02434,-0.161,-357.1
223,3.74,-0.0427,-0.16,-364.7
224,3.757,-0.05888,-0.155,-475.7
225,3.774,-0.0853,-0.142,-522.0
226,3.79,-0.104,-0.131,-351.8
227,3.807,-0.11,-0.119,-285.2
228,3.824,-0.119,-0.107,-296.6
229,3.841,-0.13,-0.0992,-320.9
230,3.857,-0.139,-0.08482,-318.7
231,3.874,-0.148,-0.07396,-422.3
232,3.891,-0.164,-0.05059,-434.4
233,3.908,-0.165,-0.0352,-409.5
234,3.924,-0.168,-0.009979,-473.1
235,3.941,-0.17,0.01134,-373.3
236,3.958,-0.172,0.02766,-340.7
237,3.975,-0.169,0.04614,-333.8
238,3.992,-0.168,0.0622,-335.5
239,4.008,-0.161,0.08042,-422.8
240,4.025,-0.15,0.103,-446.5
241,4.042,-0.141,0.125,-363.6
242,4.059,-0.13,0.138,-394.0
243,4.075,-0.111,0.157,-399.7
244,4.092,-0.09865,0.171,-345.7
245,4.109,-0.07999,0.182,-398.0
246,4.126,-0.05726,0.192,-365.4
247,4.142,-0.04052,0.2,-375.9
248,4.159,-0.0142,0.205,-469.4
249,4.176,0.01558,0.209,-368.5
250,4.193,0.03102,0.21,-288.0
251,4.21,0.05088,0.205,-325.1
252,4.226,0.07063,0.202,-370.4
253,4.243,0.09365,0.189,-392.0
254,4.26,0.114,0.179,-375.8
255,4.277,0.134,0.166,-364.9
256,4.293,0.146,0.147,-332.7
257,4.31,0.16,0.134,-324.4
258,4.327,0.173,0.119,-311.1
259,4.344,0.179,0.101,-315.5
260,4.361,0.188,0.0832,-333.8
261,4.377,0.193,0.06376,-327.4
262,4.394,0.195,0.04447,-355.0
263,4.411,0.191,0.02115,-354.7
264,4.428,0.191,0.003172,-394.6
265,4.444,0.186,-0.02251,-446.3
266,4.461,0.18,-0.04485,-397.4
267,4.478,0.17,-0.06253,-339.2
268,4.495,0.16,-0.0758,-359.4
269,4.511,0.15,-0.09447,-348.9
270,4.528,0.14,-0.106,-372.8
271,4.545,0.125,-0.124,-428.5
272,4.562,0.109,-0.136,-358.4
273,4.579,0.09054,-0.138,-388.8
274,4.595,0.07217,-0.151,-447.0
275,4.612,0.05251,-0.16,-430.8
276,4.629,0.03246,-0.166,-368.5
277,4.646,0.01724,-0.168,-338.6
278,4.662,-0.0008779,-0.169,-360.0
279,4.679,-0.01759,-0.162,-393.4
280,4.696,-0.03796,-0.158,-409.8
281,4.713,-0.0546,-0.15,-375.1
282,4.729,-0.07131,-0.146,-419.3
283,4.746,-0.08969,-0.133,-451.2
284,4.763,-0.109,-0.124,-337.8
285,4.78,-0.118,-0.116,-220.3
286,4.797,-0.122,-0.108,-315.6
287,4.813,-0.134,-0.09079,-388.1
288,4.83,-0.143,-0.07738,-390.7
289,4.847,-0.155,-0.05927,-413.2
290,4.864,-0.164,-0.0424,-365.8
291,4.88,-0.166,-0.02537,-378.8
292,4.897,-0.169,-0.005298,-404.6
293,4.914,-0.172,0.01478,-395.5
294,4.931,-0.171,0.03472,-395.2
295,4.947,-0.168,0.05516,-419.9
296,4.964,-0.162,0.07768,-427.2
297,4.981,-0.153,0.09752,-453.1
298,4.998,-0.141,0.122,-463.1
299,5.015,-0.127,0.141,-389.4
300,5.031,-0.113,0.155,-405.8
301,5.048,-0.09378,0.174,-427.3
302,5.065,-0.07527,0.188,-348.9
303,5.082,-0.05888,0.196,-376.2
304,5.098,-0.03349,0.206,-402.5
305,5.115,-0.01169,0.211,-389.2
306,5.132,0.01406,0.212,-371.2
307,5.149,0.03456,0.212,-317.7
308,5.166,0.05458,0.212,-303.0
309,5.182,0.07212,0.204,-345.1
310,5.199,0.09603,0.196,-434.2
311,5.216,0.123,0.182,-398.7
312,5.233,0.139,0.17,-328.2
313,5.249,0.154,0.154,-293.2
314,5.266,0.162,0.14,-295.3
315,5.283,0.175,0.123,-351.8
316,5.3,0.186,0.103,-361.8
317,5.316,0.191,0.08087,-387.5
318,5.333,0.197,0.05638,-427.8
319,5.35,0.199,0.03007,-430.4
320,5.367,0.197,0.0052,-381.3
321,5.384,0.193,-0.01413,-375.8
322,5.4,0.188,-0.03686,-381.4
323,5.417,0.178,-0.05448,-370.0
324,5.434,0.172,-0.07479,-369.5
325,5.451,0.162,-0.09102,-371.8
326,5.467,0.148,-0.108,-441.5
327,5.484,0.13,-0.126,-423.4
328,5.501,0.11,-0.132,-314.1
329,5.518,0.09869,-0.14,-325.0
330,5.534,0.08091,-0.147,-392.0
331,5.551,0.06321,-0.156,-415.4
332,5.568,0.0423,-0.158,-386.9
333,5.585,0.02597,-0.161,-393.0
334,5.602,0.005131,-0.164,-377.6
335,5.618,-0.00997,-0.162,-331.9
336,5.635,-0.02652,-0.161,-356.9
337,5.652,-0.04405,-0.159,-357.9
338,5.669,-0.05896,-0.151,-378.5
339,5.685,-0.07575,-0.141,-465.6
340,5.702,-0.0967,-0.129,-419.7
341,5.719,-0.109,-0.12,-289.1
342,5.736,-0.119,-0.112,-312.4
343,5.753,-0.13,-0.09916,-353.4
344,5.769,-0.139,-0.08498,-330.6
345,5.786,-0.149,-0.0731,-388.8
346,5.803,-0.156,-0.05221,-397.6
347,5.82,-0.162,-0.03685,-372.9
348,5.836,-0.166,-0.01734,-410.4
349,5.853,-0.168,0.002668,-419.4
350,5.87,-0.166,0.02359,-363.7
351,5.887,-0.165,0.03841,-343.4
352,5.903,-0.165,0.05898,-405.8
353,5.92,-0.158,0.07958,-429.3
354,5.937,-0.15,0.101,-396.0
355,5.954,-0.141,0.119,-332.9
356,5.971,-0.131,0.132,-401.3
357,5.987,-0.11,0.149,-446.9
358,6.004,-0.09463,0.165,-380.9
359,6.021,-0.07848,0.178,-342.4
