,t,x,y,ω
144,2.415,0.188,0.00189,-338.4
145,2.432,0.185,-0.01392,-313.2
146,2.449,0.18,-0.03148,-336.0
147,2.465,0.175,-0.04874,-344.8
148,2.482,0.165,-0.06511,-368.6
149,2.499,0.158,-0.08396,-343.9
150,2.516,0.148,-0.096,-410.0
151,2.533,0.131,-0.117,-475.2
152,2.549,0.116,-0.134,-384.6
153,2.566,0.103,-0.144,-369.7
154,2.583,0.08505,-0.156,-386.0
155,2.6,0.06827,-0.165,-353.5
156,2.616,0.05272,-0.175,-333.0
157,2.633,0.03566,-0.179,-313.0
158,2.65,0.01978,-0.181,-278.0
159,2.667,0.006272,-0.184,-277.0
160,2.683,-0.009808,-0.185,-257.3
161,2.7,-0.02153,-0.184,-255.6
162,2.717,-0.03754,-0.183,-293.6
163,2.734,-0.05339,-0.18,-287.6
164,2.751,-0.06753,-0.174,-288.2
165,2.767,-0.08289,-0.169,-320.4
166,2.784,-0.1,-0.161,-325.9
167,2.801,-0.116,-0.153,-298.9
168,2.818,-0.129,-0.143,-324.9
169,2.834,-0.144,-0.129,-330.1
170,2.851,-0.157,-0.118,-321.1
171,2.868,-0.167,-0.101,-301.3
172,2.885,-0.176,-0.08906,-314.6
173,2.901,-0.184,-0.06944,-358.7
174,2.918,-0.188,-0.04961,-348.1
175,2.935,-0.197,-0.03113,-353.1
176,2.952,-0.2,-0.01024,-377.1
177,2.969,-0.198,0.01279,-368.8
178,2.985,-0.196,0.03264,-357.8
179,3.002,-0.193,0.05412,-391.4
180,3.019,-0.185,0.07684,-413.3
181,3.036,-0.175,0.09903,-428.6
182,3.052,-0.162,0.122,-424.2
183,3.069,-0.149,0.143,-417.3
184,3.086,-0.131,0.161,-440.2
185,3.103,-0.111,0.182,-430.9
186,3.12,-0.09022,0.197,-428.8
187,3.136,-0.06374,0.207,-395.1
188,3.153,-0.04399,0.219,-350.2
189,3.17,-0.02079,0.222,-343.0
190,3.187,0.0006066,0.225,-361.1
191,3.203,0.02653,0.224,-371.0
192,3.22,0.04944,0.221,-390.9
193,3.237,0.07708,0.213,-444.5
194,3.254,0.105,0.201,-437.4
195,3.27,0.127,0.185,-359.0
196,3.287,0.142,0.172,-278.4
197,3.304,0.154,0.16,-331.7
198,3.321,0.169,0.139,-464.6
199,3.338,0.187,0.11,-422.7
200,3.354,0.193,0.0909,-352.9
201,3.371,0.199,0.06741,-376.6
202,3.388,0.206,0.04586,-328.7
203,3.405,0.203,0.02737,-330.2
204,3.421,0.204,0.005195,-314.0
205,3.438,0.201,-0.009957,-271.4
206,3.455,0.194,-0.02601,-355.9
207,3.472,0.189,-0.04974,-385.2
208,3.488,0.18,-0.06776,-362.4
209,3.505,0.168,-0.08566,-366.3
210,3.522,0.157,-0.101,-281.5
211,3.539,0.145,-0.107,-339.2
212,3.556,0.13,-0.127,-406.4
213,3.572,0.115,-0.138,-339.8
214,3.589,0.101,-0.148,-316.1
215,3.606,0.08829,-0.157,-309.2
216,3.623,0.07248,-0.163,-308.1
217,3.639,0.0583,-0.169,-306.7
218,3.656,0.04216,-0.173,-307.7
219,3.673,0.02749,-0.179,-253.3
220,3.69,0.01633,-0.179,-224.3
221,3.707,0.0037,-0.178,-237.6
222,3.723,-0.008604,-0.179,-222.2
223,3.74,-0.01951,-0.178,-206.1
224,3.757,-0.02988,-0.175,-252.3
225,3.774,-0.04567,-0.174,-287.2
226,3.79,-0.05927,-0.169,-264.9
227,3.807,-0.07095,-0.162,-271.0
228,3.824,-0.08436,-0.156,-300.1
229,3.841,-0.09888,-0.148,-316.0
230,3.857,-0.113,-0.139,-342.9
231,3.874,-0.127,-0.126,-353.2
232,3.891,-0.14,-0.114,-331.8
233,3.908,-0.153,-0.102,-284.9
234,3.925,-0.16,-0.09068,-318.1
235,3.941,-0.171,-0.07271,-350.1
236,3.958,-0.178,-0.05732,-288.8
237,3.975,-0.183,-0.04336,-314.6
238,3.992,-0.188,-0.02406,-327.9
239,4.008,-0.191,-0.007772,-326.1
240,4.025,-0.191,0.01213,-361.8
241,4.042,-0.189,0.03269,-368.2
242,4.059,-0.185,0.05308,-379.5
243,4.075,-0.18,0.07466,-386.3
244,4.092,-0.172,0.09533,-435.6
245,4.109,-0.161,0.122,-439.5
246,4.126,-0.149,0.143,-416.4
247,4.143,-0.133,0.164,-430.8
248,4.159,-0.114,0.183,-390.7
249,4.176,-0.09531,0.197,-365.5
250,4.193,-0.07483,0.21,-359.0
251,4.21,-0.05356,0.219,-357.5
252,4.226,-0.03033,0.226,-343.8
253,4.243,-0.008979,0.23,-358.1
254,4.26,0.01774,0.231,-383.1
255,4.277,0.04283,0.229,-342.6
256,4.294,0.06398,0.225,-328.8
257,4.31,0.08656,0.218,-333.1
258,4.327,0.106,0.209,-347.5
259,4.344,0.128,0.195,-388.8
260,4.361,0.148,0.176,-390.6
261,4.377,0.165,0.157,-334.9
262,4.394,0.175,0.14,-313.3
263,4.411,0.186,0.121,-312.7
264,4.428,0.194,0.104,-315.6
265,4.444,0.199,0.08252,-366.5
266,4.461,0.204,0.05804,-366.8
267,4.478,0.205,0.03683,-393.8
268,4.495,0.206,0.00963,-357.9
269,4.512,0.201,-0.006396,-264.9
270,4.528,0.196,-0.02127,-292.7
271,4.545,0.19,-0.03911,-330.7
272,4.562,0.181,-0.05639,-338.7
273,4.579,0.175,-0.07428,-311.0
274,4.595,0.166,-0.08702,-348.4
275,4.612,0.149,-0.103,-369.0
276,4.629,0.137,-0.116,-388.5
277,4.646,0.12,-0.132,-441.0
278,4.662,0.1,-0.143,-408.5
279,4.679,0.08202,-0.15,-366.8
280,4.696,0.06701,-0.159,-339.4
281,4.713,0.05137,-0.166,-315.1
282,4.73,0.03664,-0.169,-309.5
283,4.746,0.02072,-0.174,-324.3
284,4.763,0.00405,-0.173,-364.7
285,4.78,-0.01659,-0.174,-362.0
286,4.797,-0.03297,-0.173,-303.4
287,4.813,-0.0472,-0.169,-294.0
288,4.83,-0.06185,-0.164,-279.1
289,4.847,-0.07413,-0.159,-273.7
290,4.864,-0.08787,-0.153,-298.1
291,4.88,-0.102,-0.145,-311.7
292,4.897,-0.116,-0.137,-313.7
293,4.914,-0.128,-0.126,-320.1
294,4.931,-0.141,-0.114,-315.0
295,4.948,-0.151,-0.102,-317.7
296,4.964,-0.162,-0.08705,-347.5
297,4.981,-0.172,-0.07062,-351.5
298,4.998,-0.179,-0.05329,-359.3
299,5.015,-0.186,-0.03372,-344.2
300,5.031,-0.189,-0.01649,-305.2
301,5.048,-0.195,-6.159e-05,-319.5
302,5.065,-0.196,0.01962,-332.8
303,5.082,-0.194,0.03825,-342.3
304,5.099,-0.191,0.05896,-387.8
305,5.115,-0.185,0.083,-423.1
306,5.132,-0.176,0.107,-406.0
307,5.149,-0.165,0.128,-400.8
308,5.166,-0.151,0.15,-419.8
309,5.182,-0.134,0.171,-377.7
310,5.199,-0.118,0.186,-382.9
311,5.216,-0.09633,0.204,-372.5
312,5.233,-0.07818,0.215,-355.8
313,5.249,-0.05342,0.225,-364.5
314,5.266,-0.03189,0.235,-306.0
315,5.283,-0.01281,0.238,-307.9
316,5.3,0.01074,0.238,-349.8
317,5.317,0.0359,0.236,-396.4
318,5.333,0.06538,0.23,-376.6
319,5.35,0.08686,0.223,-350.3
320,5.367,0.11,0.211,-368.9
321,5.384,0.131,0.196,-295.3
322,5.4,0.143,0.186,-289.0
323,5.417,0.159,0.168,-348.1
324,5.434,0.173,0.149,-401.2
325,5.451,0.187,0.122,-424.9
326,5.467,0.196,0.09802,-313.0
327,5.484,0.197,0.08265,-291.7
328,5.501,0.202,0.06098,-313.9
329,5.518,0.203,0.04394,-282.5
330,5.535,0.202,0.02593,-344.4
331,5.551,0.201,0.002236,-350.0
332,5.568,0.196,-0.01533,-323.4
333,5.585,0.188,-0.0339,-346.4
334,5.602,0.182,-0.05239,-335.3
335,5.618,0.173,-0.06808,-324.7
336,5.635,0.163,-0.08284,-382.1
337,5.652,0.146,-0.09959,-453.5
338,5.669,0.13,-0.118,-407.3
339,5.686,0.116,-0.128,-357.6
340,5.702,0.101,-0.139,-342.5
341,5.719,0.0861,-0.146,-361.3
342,5.736,0.06929,-0.158,-402.1
343,5.753,0.05061,-0.165,-368.5
344,5.769,0.03363,-0.168,-355.2
345,5.786,0.01559,-0.173,-348.6
346,5.803,-0.001022,-0.172,-328.4
347,5.82,-0.01754,-0.171,-306.2
348,5.836,-0.03184,-0.17,-274.8
349,5.853,-0.04493,-0.167,-269.9
350,5.87,-0.05876,-0.164,-308.3
351,5.887,-0.07475,-0.157,-355.3
352,5.904,-0.09039,-0.147,-332.2
353,5.92,-0.103,-0.139,-330.1
354,5.937,-0.12,-0.13,-324.0
355,5.954,-0.131,-0.12,-337.7
356,5.971,-0.145,-0.105,-377.2
357,5.987,-0.156,-0.09001,-364.9
358,6.004,-0.168,-0.07389,-333.5
359,6.021,-0.175,-0.05927,-322.0
