,t,x,y,ω
168,2.818,0.121,0.177,-353.4
169,2.834,0.137,0.163,-367.4
170,2.851,0.152,0.144,-415.1
171,2.868,0.167,0.122,-383.3
172,2.885,0.177,0.105,-379.5
173,2.901,0.187,0.08101,-363.5
174,2.918,0.191,0.06329,-316.0
175,2.935,0.189,0.04301,-368.0
176,2.952,0.188,0.01984,-356.0
177,2.969,0.187,0.002789,-340.5
178,2.985,0.181,-0.01707,-422.1
179,3.002,0.175,-0.04135,-411.1
180,3.019,0.167,-0.05823,-423.7
181,3.036,0.155,-0.08095,-435.6
182,3.052,0.144,-0.09609,-499.1
183,3.069,0.123,-0.12,-558.6
184,3.086,0.104,-0.135,-604.9
185,3.103,0.07149,-0.15,-593.1
186,3.119,0.05101,-0.161,-501.9
187,3.136,0.02541,-0.167,-602.9
188,3.153,-0.008147,-0.178,-512.1
189,3.17,-0.02673,-0.178,-390.1
190,3.187,-0.04948,-0.176,-394.0
191,3.203,-0.0678,-0.17,-473.7
192,3.22,-0.09679,-0.157,-536.0
193,3.237,-0.115,-0.139,-405.4
194,3.254,-0.127,-0.126,-340.8
195,3.27,-0.142,-0.114,-340.4
196,3.287,-0.153,-0.101,-303.9
197,3.304,-0.164,-0.08961,-318.1
198,3.321,-0.171,-0.07161,-428.5
199,3.337,-0.18,-0.04581,-426.1
200,3.354,-0.187,-0.02782,-439.3
201,3.371,-0.191,0.001448,-485.9
202,3.388,-0.19,0.02613,-490.7
203,3.405,-0.178,0.05414,-527.0
204,3.421,-0.174,0.08317,-468.4
205,3.438,-0.166,0.106,-374.5
206,3.455,-0.157,0.123,-326.0
207,3.472,-0.149,0.142,-411.4
208,3.488,-0.128,0.164,-431.8
209,3.505,-0.108,0.174,-380.0
210,3.522,-0.08906,0.188,-373.1
211,3.539,-0.07068,0.2,-397.4
212,3.556,-0.04437,0.208,-405.1
213,3.572,-0.02168,0.211,-418.0
214,3.589,0.007565,0.216,-396.6
215,3.606,0.02825,0.216,-368.6
216,3.623,0.05395,0.211,-404.5
217,3.639,0.07814,0.203,-437.2
218,3.656,0.106,0.19,-453.9
219,3.673,0.128,0.174,-400.9
220,3.69,0.144,0.157,-386.6
221,3.706,0.158,0.137,-385.2
222,3.723,0.17,0.117,-387.9
223,3.74,0.183,0.09627,-369.8
224,3.757,0.189,0.0774,-375.8
225,3.774,0.195,0.05309,-446.6
226,3.79,0.195,0.02466,-368.4
227,3.807,0.188,0.009197,-339.2
228,3.824,0.188,-0.01374,-378.5
229,3.841,0.181,-0.03154,-366.0
230,3.857,0.173,-0.0511,-396.2
231,3.874,0.165,-0.07067,-364.8
232,3.891,0.158,-0.08665,-408.0
233,3.908,0.148,-0.111,-467.0
234,3.924,0.133,-0.13,-583.3
235,3.941,0.09892,-0.149,-602.4
236,3.958,0.07686,-0.161,-448.2
237,3.975,0.0577,-0.172,-522.3
238,3.992,0.0254,-0.182,-632.4
239,4.008,-0.008119,-0.175,-532.9
240,4.025,-0.03053,-0.174,-393.2
241,4.042,-0.04865,-0.171,-387.3
242,4.059,-0.06969,-0.165,-394.8
243,4.075,-0.08584,-0.154,-377.4
244,4.092,-0.103,-0.144,-366.3
245,4.109,-0.117,-0.133,-316.4
246,4.126,-0.128,-0.123,-341.3
247,4.143,-0.14,-0.106,-382.4
248,4.159,-0.152,-0.09101,-411.9
249,4.176,-0.165,-0.07119,-446.6
250,4.193,-0.175,-0.05022,-535.6
251,4.21,-0.181,-0.01718,-499.6
252,4.226,-0.185,0.002391,-487.6
253,4.243,-0.182,0.03517,-548.6
254,4.26,-0.177,0.06136,-494.9
255,4.277,-0.168,0.08776,-444.2
256,4.293,-0.159,0.108,-456.3
257,4.31,-0.145,0.135,-457.7
258,4.327,-0.13,0.151,-360.5
259,4.344,-0.117,0.167,-349.7
260,4.361,-0.101,0.184,-386.3
261,4.377,-0.07969,0.196,-345.7
262,4.394,-0.06275,0.202,-339.2
263,4.411,-0.03967,0.21,-412.5
264,4.428,-0.01298,0.217,-391.3
265,4.444,0.009287,0.22,-375.6
266,4.461,0.0353,0.219,-372.7
267,4.478,0.05694,0.214,-324.3
268,4.495,0.07629,0.209,-345.8
269,4.511,0.09883,0.198,-395.3
270,4.528,0.121,0.184,-355.9
271,4.545,0.133,0.167,-384.2
272,4.562,0.152,0.145,-399.3
273,4.579,0.165,0.13,-362.7
274,4.595,0.174,0.107,-336.3
275,4.612,0.179,0.09101,-316.0
276,4.629,0.186,0.07168,-401.5
277,4.646,0.19,0.04524,-387.4
278,4.662,0.193,0.02715,-364.8
279,4.679,0.187,0.003762,-415.1
280,4.696,0.182,-0.01878,-403.3
281,4.713,0.175,-0.03841,-384.6
282,4.729,0.166,-0.05653,-421.0
283,4.746,0.155,-0.07722,-458.8
284,4.763,0.141,-0.09586,-407.3
285,4.78,0.128,-0.108,-393.1
286,4.797,0.113,-0.123,-572.1
287,4.813,0.0835,-0.141,-581.3
288,4.83,0.06634,-0.155,-444.7
289,4.847,0.04565,-0.162,-455.7
290,4.864,0.02257,-0.164,-502.6
291,4.88,-0.003313,-0.172,-504.9
292,4.897,-0.02775,-0.174,-457.8
293,4.914,-0.05104,-0.173,-407.8
294,4.931,-0.06927,-0.165,-447.3
295,4.948,-0.0951,-0.155,-521.4
296,4.964,-0.118,-0.139,-449.2
297,4.981,-0.134,-0.127,-334.3
298,4.998,-0.144,-0.115,-361.9
299,5.015,-0.158,-0.09644,-414.2
300,5.031,-0.168,-0.07733,-407.5
301,5.048,-0.178,-0.05684,-381.2
302,5.065,-0.19,-0.0399,-434.8
303,5.082,-0.192,-0.0104,-516.6
304,5.098,-0.193,0.01863,-452.6
305,5.115,-0.193,0.0414,-424.2
306,5.132,-0.187,0.06692,-409.6
307,5.149,-0.18,0.08718,-401.8
308,5.166,-0.173,0.113,-379.7
309,5.182,-0.167,0.133,-392.0
310,5.199,-0.147,0.154,-411.1
311,5.216,-0.132,0.171,-407.7
312,5.233,-0.108,0.188,-386.9
313,5.249,-0.09207,0.201,-313.0
314,5.266,-0.07434,0.21,-340.5
315,5.283,-0.05151,0.219,-358.9
316,5.3,-0.02911,0.223,-371.2
317,5.316,-0.003084,0.226,-369.6
318,5.333,0.01967,0.228,-356.3
319,5.35,0.04403,0.223,-321.2
320,5.367,0.06178,0.22,-307.4
321,5.384,0.08331,0.212,-378.8
322,5.4,0.105,0.195,-391.5
323,5.417,0.124,0.18,-371.1
324,5.434,0.14,0.161,-365.9
325,5.451,0.155,0.145,-333.6
326,5.467,0.166,0.13,-375.1
327,5.484,0.172,0.102,-356.4
328,5.501,0.178,0.08656,-301.9
329,5.518,0.185,0.0686,-364.0
330,5.535,0.183,0.04486,-371.9
331,5.551,0.182,0.02526,-339.9
332,5.568,0.181,0.007449,-342.1
333,5.585,0.173,-0.01074,-387.0
334,5.602,0.168,-0.03143,-412.9
335,5.618,0.16,-0.05008,-457.1
336,5.635,0.149,-0.07265,-481.2
337,5.652,0.136,-0.09046,-430.2
338,5.669,0.126,-0.107,-479.1
339,5.685,0.106,-0.125,-529.8
340,5.702,0.08151,-0.131,-479.9
341,5.719,0.06572,-0.145,-397.1
342,5.736,0.05137,-0.153,-479.3
343,5.753,0.02296,-0.159,-604.6
344,5.769,-0.004919,-0.163,-462.2
345,5.786,-0.02119,-0.166,-362.6
346,5.803,-0.04083,-0.165,-349.8
347,5.82,-0.05629,-0.164,-379.3
348,5.836,-0.07873,-0.157,-346.3
349,5.853,-0.08977,-0.152,-313.1
350,5.87,-0.107,-0.141,-375.7
351,5.887,-0.123,-0.131,-317.8
352,5.903,-0.134,-0.121,-318.6
353,5.92,-0.143,-0.104,-369.1
354,5.937,-0.158,-0.09052,-333.0
355,5.954,-0.165,-0.07666,-380.0
356,5.971,-0.18,-0.05533,-461.6
357,5.987,-0.189,-0.03127,-404.9
358,6.004,-0.192,-0.01177,-372.9
359,6.021,-0.195,0.0105,-450.6
